abderian	given to excessive or incessant laughter
abecedarian	one learning the rudiments of something
aberrant	abnormal
abeyance	temporary inactivity, cessation, or suspension
abiogenesis	spontaneous origination of living organisms directly from lifeless matter
abseil	to rappel
abstemious	marked by restraint especially in the consumption of food or alcohol
abulia	abnormal lack of ability to act or to make decisions
acaronar	to tenderly pull someone close
acataphasia	loss of the power to formulate a statement correctly
acedia	spiritual torpor and apathy; ennui
acescent	slightly sour or turning sour
acumen	keeness and quickness in understanding
adumbrate	to foreshadow vaguely : intimate
aeruginous	having the characteristics of or the color of verdigris (green pigment from the action of acid on copper)
aesculapian	relating to the healing arts; medical
affine	relative by marriage
affluenza	a psychological malaise supposedly affecting wealthy young people, symptoms of which include a lack of motivation, feelings of guilt, and a sense of isolation
agelast	someone who never laughs
aggiornamento	the process of bringing an institution or organization up to date; modernization
agon	between the chief characters in a literary work
ahimsa	the Hindu and Buddhist doctrine of refraining from harming any living being
alacrity	cheerful willingness and promptness
alameda	a public promenade bordered with trees
alastor	avenging demon
albedo	the white, spongy inner lining of a citrus fruit rind
aleatory	dependent on chance, luck, or an uncertain outcome; of or characterized by gambling
alembic	something that refines or transmutes as if by distillation
alopecia	loss of hair, wool, or feathers : baldness
amaranthine	not fading or dying : immortal; being dark reddish purple
amaurosis	partial or total loss of sight
ambsace	the lowest throw of the dice (two single pips); the smallest amount of anything; bad luck
ambulate	to walk
ambuscade	ambush
ameliorate	to make or become better, bearable, or satisfactory
anabasis	a military march up-country (from the coast)
anabiosis	a return to life after death or apparent death
analeptic	restoring; invigorating; giving strength after disease
ananias	an early Christian struck dead for lying;liar
anaphora	repetition of a word in the beginning of successive phrases
anathema	a thing or person that is cursed, banned, or reviled
anchorite	one who lives in seclusion; a hermit
anele	to anoint, especially in giving extreme unction
anent	concerning; about
anfractuous	full of windings and intricate turnings : tortuous
anhedonia	inability to experience pleasure
anicca	cycle of life (birth, growth, death, decay)
anile	of or like an old woman
animadversion	adverse criticism
anodyne	(adj) soothing or relaxing; (n) a medicine that eases pain
anoesis	a state of mind existing in pure sensation without thought
anorak	a person who is extremely interested in something that other people find boring
anthophilous	feeding upon or living among flowers
antiphrasis	use of a word in a sense opposite to its proper meaning
antithalian	opposed to mirth or fun
antitussive	capable of relieving or suppressing coughing
apercu	a first glance or immediate impression -- an estimate, judgment, or understanding that is quickly discerned
aphelion	the point in the path of a celestial body (as a planet) that is farthest from the sun
apheresis	the omission of a letter or syllable at the beginning of a word
apologia	a defense especially of one's opinions, position, or actions
apophasis	the raising of an issue by claiming not to mention it
apoplectic	having a stroke
aposematic	characterized by bright conspicuous markings, which predators recognize and learn to avoid; warning
appellation	an identifying name or title : designation
apposite	highly pertinent or appropriate : apt
apricate	to bask in the sunlight
apricity	warmth of the sun (esp. on a winter's day)
archon	a ruler; a higher magistrate in ancient Athens
arctophile	a person who collects or is very fond of teddy bears
arenicolous	growing or living in sand or sandy places
argent	silvery
argosy	a large merchant ship, originally one from Ragusa (now Dubrovnik) or Venice
aristarch	a severe critic
armigerous	bearing or entitled to use a coat of arms
arrant	being notoriously without moderation; extreme
arrivieste	new to power/money
arrogate	to make an unreasonable claim
ascetic	practicing self-denial; austere
ascian	person or thing without a shadow
asperity	roughness of manner or of temper; severity
asperse	attach with slander; to sprinkle
aspersion	a damaging or derogatory remark or criticism; slander
assauge	slake
assemblage	a gathering
ataraxia	tranquility
atavism	reversion to an earlier type; throwback
atavistic	a person who contains a trait found in ancestors, but not in recent relatives; reverting to a primitive type
atelier	a workshop or studio, especially one used by an artist or designer
athanasia	deathlessness; immortality
athenaeum	an institution for the promotion of literary or scientific learning; a library or reading room
atrabilious	gloomy; morose; melancholy; morbid
attainder	dishonor (obs.)
atticism	a witty or well-turned phrase
auto-da-fe	the burning of a heretic by the Spanish Inquisition
avaricious	greedy; covetous
avifauna	the birds or the kinds of birds of a region, period, or environment
bagatelle	a thing of little importance; a very easy task
bagnio	Italian bathhouse; brothel; Oriental prison
baize	greed felt used to cover pool tables
baksheesh	payment, such as a tip or bribe
baleful	foreboding or threatening evil
balter	to dance artlessly, without particular grace or skill but usually with enjoyment
banausic	relating to or concerned with earning a living; merely mechanical; routine
banjax	to ruin or destroy
basorexia	the overwhelming desire to kiss; literally, to be hungry for a kiss
bastinado	a form of punishment or torture that involves caning the soles of someone's feet
bathetic	 effusively or insincerely emotional
bathycolpian	deep-bosomed; having an ample bosom with a deep cleavage
begrit	encircle or bind
belletrist	write of fine literature
benison	blessing; benediction
betise	lack of understanding; a stupid or foolish act or remark
bezonian	(archaic) a mean, dishonest person; scoundrel
bibelot	a small household ornament or decorative object; trinket
bibulous	given to the consumption of alcohol; very absorbent
bijou	a small dainty usually ornamental piece of delicate workmanship
bildungsroman	a novel dealing with one person's formative years or spiritual education
billingsgate	coarsely abusive language
bissextile	(of a month or year) containing the extra day of a leap year; name for a leap year (rare)
blandish	to coax or influence by gentle flattery; cajole
blandishment	speech to coax or flatter
bloviate	to speak pompously
bolus	a rounded mass (as a pill); (medicine) a shot of medicine
bombinate	to make a humming or buzzing noise
bonce	the head (British)
bosh	something regarded as absurd; nonsense
bosky	having abundant trees or shrubs; of or relating to a woods
bovarism	an exaggerated, especially glamorized, estimate of oneself; conceit
bowdlerize	to expurgate (a written work) by removing or modifying passages considered vulgar or objectionable
brachylogy	a concise style in speech or writing
bricolage	something constructed or created from a diverse range of available things.
brio	vigor or vivacity of style or performance
brogues	shoe leather with perforations
bruit	(Med.) abnormal sound heard in the body; (arc.) rumor; din, clamor
brumal	of winter; wintery
brume	mist or fog
brummagem	showy but worthless thing
bruxism	teeth grinding
bucolic	in a lovely rural setting
bumptious	offensively self-assertive
buncombe	insincere talk; claptrap; humbug
burgeon	begin to grow or increase rapidly; flourish
cabochon	unfaceted gem
cacoethes	an irresistible urge to do something inadvisable
cadastral	a public record, survey, or map of the value, extent, and ownership of land as a basis of taxation
caisson	a chest or wagon for holding or conveying ammunition; a box use for performing construction underwater
caitiff	cowardly; despicable
caliginous	misty; dark
callow	immature or inexperienced
calotte	Roman Catholic skullcap; zucchetto
calumny	a false and slanderous statement
camarilla	a group of unofficial or private advisers to a person of authority, especially a group much given to intrigues and secret plots
camorra	a secret society which thrives on blackmail and extortion
canaille	riffraff; rabble
cancrine	reading the same backwards as forwards; a palindrome
canescent	turning white or grayish
canorous	melodious; musical
canthus	the corner of the eye where the upper and lower lids meet
cantle	corner, segment, or portion; hind part of a saddle
caparison	rich or elaborate clothing and ornaments
capitulate	to surrender; to cease resisting
captious	apt to notice and make much of trivial faults or defects; faultfinding
cark	to cause to worry; to vex
caruncle	any small fleshy mass in or on the body, either natural or abnormal
caryatid	sculpted female figure serving as an architectural support
catalepsis	a state of prolonged rigid posture
cathexis	concentration of emotional energy on an object or idea.
catholicon	cure all
catoptric	or or relating to a mirror or reflection
causerie	an informal talk or chat
cautelous	crafty or cunning
cavil	make petty or unnecessary objections; to find fault without good reason
celerity	swiftness; speed
censorious	severely critical of others
chanteuse	a woman who is a concert or nightclub singer
chaplet	a garland or wreath for a person's head
charrette	a final, intensive effort to finish a project before a deadline
chary	cautiously or suspiciously reluctant to do something
chatoyant	changing in luster or color
chiasmus	(rhetoric) a reversal in the order of words in two otherwise parallel phrases
chicanery	use of clever but tricky talk to deceive
chiliad	group of 1000; millennium
choleric	easily angered; bad-tempered; showing anger
chouse	to swindle; cheat
chthonic	of or relating to the deities, spirits, and other beings dwelling under the earth
cibarious	pertaining to food; edible
ciborium	a receptacle shaped like a shrine or a cup with an arched cover, used in the Christian Church for the reservation of the Eucharist
cicatrix	scar
cilice	hair cloth; coarse cloth
cimmerian	very dark or gloomy
cipher	one that has no weight, worth, or influence; method of transforming a text in order to conceal its meaning
circumspect	careful, cautious
claque	a group of persons hired to applaud at a performance
clement	mild
clepsydra	water clock
clerisy	learned persons as a class; literati; intelligentsia
clinquant	glittering, especially with tinsel; decked with garish finery
clochard	a beggar; vagrant; tramp
co-adjutor	coworker; assistant
coeval	of the same age, date, or duration; equally old; contemporary
cogent	very clear and easy for the mind to accept and believe
cognomen	surname; any name, especially a nickname
colorable	appearing true; plausible
colporteur	a person who travels to sell or publicize Bibles, religious tracts, etc; peddler of books
colubrine	of, relating to, or resembling a snake
columella	the fleshy termins of the division of the nostrils
comitatus	loyalty to one’s band or group
comity	an association of nations for their mutual benefit; courtesy and considerate behavior toward others
compurgator	a sworn witness to the innocence or good character of an accused person
conciliatory	likely to placate
concinnity	a harmonious arrangement of parts, esp in literary works, speeches, etc
condign	(of punishment or retribution) appropriate to the crime or wrongdoing; fitting and deserved
conspectus	a summary or overview of a subject
contumacious	stubbornly disobedient; rebellious
contumely	rudeness or contempt arising from arrogance; insolence
convivial	relating to, occupied with, or fond of feasting, drinking, and good company
copemate	antagonist; partner
corf	tub, truck, or basket used in a mine
coriaceous	resembling leather
cormorant	a gluttonous, greedy, or rapacious person
corrigendum	a thing to be corrected, typically an error in a printed book
cortege	procession; especially a funeral procession
coruscant	glittery
corybantic	frenzied; agitated; unrestrained
cosset	(vt) to pamper; (n) a pet, especially a lamb
cosseted	pampered
costive	uncommunicative; stingy
cozen	trick or deceive
crapulous	marked by intemperance especially in eating or drinking; sick from excessive indulgence in liquor
craven	lacking courage, cowardly
crepitate	make a crackling sound
crepitus	crackling sound in the chest (from disease); grating sound of two ends of a broken bone
crepuscular	of or like twilight; dim
croesus	a very rich man
ctenophile	lover of combs
cumshaw	bribe; gratuity
cumulate	mass; pile in a heap
cunctator	a procrastinator; delayer
cupidity	excessive desire, especially of wealth
cuspidors	spittoon
cynosure	a focal point of admiration
dasypygal	having hairy buttocks
dearth	scarcity or lack
deasil	clockwise
debouche	an opening or passage that can serve as an outlet
decimate	to kill every tenth man
declivity	downward slope especially on a hill
defalcate	embezzle; misuse funds
degage	unconcerned or unconstrained; relaxed
degustation	tasting in small bites
deliquesce	to melt away, become fluid
delusive	giving a false or misleading impression
demarcate	set the boundaries or limits of
demesne	the land attached to a mansion
demulcent	soothing
demure	shy and reserved
denouement	resolution of a mystery
deracinate	uproot; remove or separate from a native environment or culture
dernier	last; final
desiderata	something that is needed or wanted
desipient	silly
desquamation	skin peeling; shedding of skin
desultory	having no set plan; haphazard or random
desuperpollicate	thumbs down
diablerie	reckless mischief; charismatic wildness
diaphoretic	sweating
didacticism	designed or intended to teach
dilettante	a person who takes up an art, activity, or subject merely for amusement
dilletante	one who studies an art or science for mere amusement, a connoisseur
discursive	covering a wide field of subjects
dissemble	to hide under a false appearance
dissolute	given to immoral or improper conduct
distaff	woman's work or domain; the female branch or side of a family
distrait	apprehensively divided
divisive	causing disagreement
doggerel	verse or words that are badly written or expressed
doughty	brave and persistent
doyen	the most respected or prominent person in a particular field
dragoman	an interpreter or guide, especially in countries speaking Arabic, Turkish, or Persian
dudgeon	fit or state of indignation
duende	a quality of passion and inspiration; a spirit
dulcet	sweet, sugary
dundrearies	long flowing sideburns
dysphoria	general dissatisfaction with life
ebullient	bubbling; overflowing with enthusiasm
ecdemomania	abnormal compulsion for wandering
ecdysiast	stripteaser
edacious	of, relating to, or given to eating
effervescent	bubbly effluence the act or instance of flowing out
effrontery	shameless or impudent boldness; barefaced audacity
eggcorn	a word or phrase that results from a mishearing or misinterpretation of another, an element of the original being substituted for one that sounds very similar or identical
egregious	conspicuously bad or shockingly good
eisegesis	the interpretation of a text (as of the Bible) by reading into it one's own ideas
elegiac	of, relating to, or involving elegy or expressing sorrow for that which is irrecoverably past
ellipsism	a sadness that you'll never be able to know how history will turn out
eloquence	beauty and persuasion in speech
elysium	a place or condition of ideal happiness.
embonpoint	condition of being plump; stoutness
emesis	vomiting
emollient	softening or soothing
empiric	a charlatan or a quack; a person who relies solely on practical experience rather than on scientific principles
empyrean	relating to heaven or the sky; heaven
encomium	glowing and warmly enthusiastic praise
energumen	one who is possessed by a demonic entity
envoi	an author's concluding words
ephebe	a young man; (in ancient Greece) a youth about to enter full citizenship
ephemeral	lasting for a short period of time
epicene	having characteristics of both sexes or no characteristics of either sex; of indeterminate sex
epigone	second-rate imitator, especially of a artist or philosopher
epistolary	related to a letter
epuration	purification
eremite	hermit
eristic	pertaining to controversy or disputation; controversial.
ersatz	an inferior substitute or imitation
erythrophobia	the fear of blushing
esculent	edible
essorant	standing, but with the wings spread, as if about to fly.
etesian	(of certain Mediterranean winds) occurring annually
ethereal	gaseous, invisible but detectable
etiolate	to make pale
euchre	to cheat
eudaimonia	a contented state of being happy and healthy and prosperous
eunoia	beautiful thinking
eupeptic	of, relating to, or having good digestion
eustasy	a change of sea level throughout the world, caused typically by movements of parts of the earth's crust or melting of glaciers
evanescent	vanishing quickly, lasting a short time
evocative	suggestive
ewer	picther
excerebrose	brainless
excrescence	 a projection or outgrowth especially when abnormal
excruciate	torture (someone) mentally or physically
exculpatory	tending to clear from a charge of fault or guilt
exeat	leave of absence (school) or permission of a priest to relocate (church)
execrate	declare to be hateful or abhorrent; denounce
exegesis	critical explanation or analysis, especially of a text
exigency	something that is necessary in a particular situation
exigent	requiring immediate attention; demanding; urgent
exiguous	very small in size or amount; meager
eximious	distinguished; eminent; excellent
exordium	the beginning of anything
expectorate	spit
expiate	to make amends for
exscind	to cut off or out
extirpate	to destroy totally; kill off
exuviate	the process of molting
factotum	a general servant/helper
fain	happily; gladly
fainéant	given to doing nothing; lazy
famulus	a servant or attendant, especially of a scholar or a magician
fane	temple; church
farrago	assortment or a medley; a conglomeration
fatidic	prophetic
fatuity	something foolish or stupid
fatuous	silly and pointless
feckless	feeble or ineffective
feldscher	doctor's assistant
felicity	pleasantness
fellahin	a peasant in Arab countries
festinate	hasten
fetching	pretty
fillip	anything that tends to rouse, excite, or revive; a stimulus
fissiparous	tending to break up into parts; divisive
flavid	yellow
fletcherize	to chew (food) slowly and thoroughly
flews	the large, pendulous sides of the upper lip of certain dogs, as bloodhounds
floccinaucinihilipilification	the estimation of something to have no value
florilegium	a collection of excerpts from written texts, especially works of literature
fluvial	of, relating to, or inhabiting a river or stream
foison	abundance; plenty
foment	agitate, provocation of a generally negative thing
forbearance	patient self-control, withholding response to provocation
formication	tactile hallucination of something crawling on or under ones skin
fricatrice	lewd woman; harlot specifically; a female homosexual
frisson	sudden burst of emotion
fugacious	fleeting, tending to disappear
fulgent	shining brightly
fulgurant	flashing like lightning; dazzlingly bright
fuliginous	sooty
fulminate	express vehement protest; to explode with a loud noise
fulsome	complimentary or flattering to an excessive degree; generous or abundant
fumid	smoky; vaporous
funambulism	tightrope walking
fungible	ability to be replaced
funicular	a railway going up and down a mountain that carries people in cars pulled by a moving cable
furtive	shifty, sneaky
fustian	high-flown or affected writing or speech
fustigate	to criticize severely
gadarene	relating to or engaged in a headlong rush
galimatias	confused or unintelligible talk
gambol	run or jump about playfully
gamine	a girl with mischievous or boyish charm
ganef	thief, scoundrel, or rascal
gastine	wasteland; pillage, looting
gelasin	dimples
gendarme	an armed police officer in France and other French-speaking countries
gendarmes	(slang) police officer
ghazi	a Muslim fighter against non-Muslims
gibbous	more than half but less than fully illuminated; having a hunchback; hunchbacked
glair	white of an egg
glaucous	of pale grayish or bluish green
glib	smooth (almost too)
glom	steal, take
gnathonic	deceitfully flattering; sycophantic
gonoph	pickpocket or thief
gormless	lacking intelligence or vitality; stupid or dull
gossamer	fine piece of thread
gramarye	occult learning; magic
grandeval	of a great age, old, ancient
grandiloquent	lofty, extravagantly colorful, pompous, or bombastic style, manner, or quality especially in language
grangerize	to raid (books) to acquire material for illustrating another book
gravid	pregnant
grimthorpe	to ‘restore’ (an old piece of architecture) with the effect of spoiling it
grok	to understand (something) intuitively or by empathy
gyve	manacle
hadal	of or pertaining to the greatest ocean depths, below approximately 20,000 ft
hagiography	writing and critical study of the lives of the saints
halation	a glow around a bright object on a television screen
halcyon	happy, sunny, care-free
hamartia	tragic flaw (literary criticism)
handsel	a gift made as a token of good wishes or luck especially at the beginning of a new year
haptic	relating to or based on the sense of touch
harbinger	messenger with news of the future
hebdomad	week; 7 days
hebetate	to make dull or obtuse
hegemony	preponderant influence or authority over others; domination
hegira	a journey especially when undertaken to escape from a dangerous or undesirable situation
henotheism	the worship of one god without denying the existence of other gods
hesternal	relating or belonging to yesterday
heteroclite	abnormal or irregular
heterodox	not agreeing with established beliefs or standards; unorthodox
heuretic	of or relating to discovery or invention.
heuristic	enabling a person to discover or learn something for themselves
hexaemeron	six days of creation; theological discussion of six days of creation
hiemal	of or relating to winter
hodiernal	of this day
holistic	the whole is more than merely the sum of its parts, in medicine - treatment of a person rather than symptoms
horripilation	a bristling of the hair of the head or body (as from disease, terror, or chilliness)
hortative	giving exhortation; urging
hoyden	tomboy; boisterous, bold, and carefree girl
hubris	arrogance from excessive pride or passion
hyaline	of or related to glass
hydragyrum	mercury
hydrophobia	rabies
hypercorrection	the use of incorrect grammar or pronunciation due to misunderstanding or the correct usage
hypergelast	one who laughs excessively
hypnopompic	state of sleeping right before waking
hypocorism	a pet name
ignominy	shameful or dishonorable quality or conduct
imbroglio	an altercation or complicated situation
imbue	to infuse, instill
immure	closed in walls
impecunious	lacking money; penniless
imperious	domineering in a haughty manner; dictatorial; overbearing
impresario	a person who organizes or manages public entertainments, especially operas, ballets, or concerts
impudent	not showing due respect; impertinent; bold-faced
inchoate	not completely formed or developed yet
incipient	beginning, in an early stage
incisive	displaying sharp mental perception
incorporeal	without form
incruent	un-bloody; bloodless
inculcate	to implant by repeated statement or admonition; teach persistently and earnestly
incunabula	any book printed before 1501; the infancy or earliest stages of something; beginnings
indecorous	conflicting with accepted standards of good conduct or good taste
indomitable	that cannot be subdued or overcome, as persons, will, or courage
ineffable	unutterable, inexpressible
inexorable	relentless
infirmity	disability
ingenue	a naive young woman
inimical	adverse in tendency or effect; unfavorable; harmful
innocuous	not harmful/offensive
insensate	lacking sense or understanding: foolish; lacking humane feeling: brutal
insidious	intended to deceive or entrap; sly, treacherous
insipid	lacking flavor, dull
insouciance	lack of care or concern; indifference.
insouciant	nonchalant, lacking worry
inspissate	to make thick or thicker
insuperable	impossible to overcome
interim	the intervening time
interloper	a person involved where they do not belong
internecine	full of war and destruction
interregnum	a period when normal government is suspended, especially between successive reigns or regimes
intractable	hard to control or deal with
inure	to become jaded, tired, bored, or lacking enthusiasm
inveigh	speak or write about (something) with great hostility
inveigle	win over by coaxing, cajolery
invidious	tending to cause discontent, animosity, or envy
inviolable	secure from violation or profanation
irascible	easily angered, hot-tempered
irenic	aiming or aimed at peace
iterative	something recurring or repeating
jacal	abode; mud hut
jactitation	false boasting; twitching of the body or of the muscles
jejune	without interest or significance; dull; insipid
jentacular	relating to breakfast
jeremiad	a series of doleful, dismal complaints
jink	a quick, evasive turn
jornada	an arduous usually one-day journey across a stretch of desert
jumentous	redolent of or smelling like horse urine
kakistocracy	ruling of the most unqualified
kef	drowsy contentment, usually from a narcotic
kickshaw	an elegant but insubstantial trinket; a fancy dish
kine	archaic plural of cow
kvell	to be extraordinarily proud; rejoice
kwaakari	gleam of last light on a river's surface at dusk
labefaction	weakening or shaking; overthrow or downfall
lacuna	an empty space or missing portion
lagniappe	a small gift given to a customer by a merchant at the time of a purchase
lamia	a female demon
languor	listlessness, inactivity
laodicean	lukewarm and indifferent, especially in the matters of religion
lassitude	a state of physical or mental weariness
leach	removal of the soluble constituents of a substance by running water through it.
legerity	alert facile quickness of mind or body
leiotrichous	having straight smooth hair
lemniscate	any of several figure-eight shaped curves
leptodactylous	having slender toes
leptosome	ectomorphic (lean slender body build with slight muscular development)
libertine	a freethinker especially in religious matters
licentious	sexually uninhibited
lilt	to move musically or lively
limn	outline in clear sharp detail; describe
limnology	the scientific study of bodies of freshwater (as lakes)
